ID,Posted at,Screen name,Text
570996553890041856,2015-02-26 17:19:21 +0000,NICKIMINAJ,RT @FaisalMinaj: RT @bnmandsmg: #ThePinkprint is really one of my addictions #NickiMinaj @NICKIMINAJ
570996476362526720,2015-02-26 17:19:03 +0000,NICKIMINAJ,RT @KingCaIeb: I'm so excited to watch vids of the UK shows & live vicariously through yall while patiently waiting for the summer to get here
570996354257969152,2015-02-26 17:18:34 +0000,NICKIMINAJ,"RT @DiegoTMSpain: RT @myshitoftheday: New album ""The pinkprint"" of Nicki Minaj is perfect. I'm loving❤❤"
570996278336851970,2015-02-26 17:18:16 +0000,NICKIMINAJ,RT @_NickiIsMyQueen: Accurate 💯 RT @brockkugler: @NICKIMINAJ i love the pinkprint more than i love my friends
570996123911004160,2015-02-26 17:17:39 +0000,NICKIMINAJ,RT @OnikaSlayMe: @NICKIMINAJ me at #ThePinkprintTour http://t.co/YoXPtESwgh
570995810546155520,2015-02-26 17:16:24 +0000,NICKIMINAJ,RT @OnikaStans: RT @TashaaLeeee: I really wanna go to Nicki Minaj's concert when she drops her tour dates cause I love the Pinkprint
570995364901330944,2015-02-26 17:14:38 +0000,NICKIMINAJ,RT @NickiBlog: TICKETS: 'The Pinkprint Tour' European Edition http://t.co/wgoX3g354K
570995271351582720,2015-02-26 17:14:15 +0000,NICKIMINAJ,RT @myminaj_: RT “@michellejuarez_: I love Nicki Minaj's the Pinkprint album💖”
570995247800561664,2015-02-26 17:14:10 +0000,NICKIMINAJ,RT @Dear_Onika: 🙌 “@iamheidy: The pinkprint is 🔥🔥🔥. Shoutout to Nicki”
570995239328092160,2015-02-26 17:14:08 +0000,NICKIMINAJ,RT @Dear_Onika: RT “@AmAm_iAm: The Pinkprint has been added to the list of albums that will help you get thru. #Onika”
570995220319498241,2015-02-26 17:14:03 +0000,NICKIMINAJ,"RT @Dear_Onika: RT “@ladyreighn: The Pinkprint is really what helps me, cause every word sang or rapped by Nicki.. I feel. 💘”"
570969213877280770,2015-02-26 15:30:43 +0000,NICKIMINAJ,Just posted a video https://t.co/lCo2AwRcXL
570968567958663169,2015-02-26 15:28:09 +0000,NICKIMINAJ,#ThePinkprintTOUR is coming to EUROPE in less than 3 weeks with TREY SONGZ. #GrandPiano https://t.co/SGR8yBGBCO
570967749595430913,2015-02-26 15:24:54 +0000,NICKIMINAJ,#ThePinkprintTOUR is coming #GrandPiano https://t.co/LD2rKUajjF
570759875220926465,2015-02-26 01:38:53 +0000,NICKIMINAJ,"CHARLOTTE, NC!!!! This Saturday me and @meekmill tryna fuk up some commas. #UReadDatWrong #CIAA come… https://t.co/DVIO3Et1AV"
570752129192886272,2015-02-26 01:08:06 +0000,NICKIMINAJ,Power 99 DJ COSMIC KEV I hear u! U just played Feeling Myself now u playing Throw Sum Mo 👊 let's go!
570727172400422912,2015-02-25 23:28:56 +0000,NICKIMINAJ,Last night I heard ONLY & TRUFFLE BUTTER within 10 mins of being in the car. Must b some sort of conspiracy theory ....
570726109450530816,2015-02-25 23:24:42 +0000,NICKIMINAJ,"I was in the car for 15 mins heard Feeling Myself, Touchin Lovin & Truffle Butter. Lol. Come thru Hot97!!!!, Come thru!!!! 😩 Kisses Nessa!"
570695873413427202,2015-02-25 21:24:33 +0000,NICKIMINAJ,Jelani my KING. Micaiah my PRINCE. Mommy my QUEEN. I am nothing without these 3 humans. Thank u for… https://t.co/xccIHUL07b
570694781497704449,2015-02-25 21:20:13 +0000,NICKIMINAJ,My heart and soul. My world. https://t.co/tQpGJVIyJF
570694236489838593,2015-02-25 21:18:03 +0000,NICKIMINAJ,Blac Chyna lookin 👅 in the http://t.co/neHVaFq015 😘 https://t.co/kzepBWxJ7A
570309595698241536,2015-02-24 19:49:38 +0000,NICKIMINAJ,RT @TylerLewinsky: @NICKIMINAJ Ma'am you have more than half the album trending WW right now http://t.co/1Ugey06itj
570309409890537473,2015-02-24 19:48:53 +0000,NICKIMINAJ,"RT @plusminaj: ""Win Again"" is trending in Brazil @NICKIMINAJ http://t.co/IWwDh5TayB"
570309300293402627,2015-02-24 19:48:27 +0000,NICKIMINAJ,"RT @zNickiMinaj: ""@AdriTeamMinaj: Trini Dem Girls trending in Spain 🙈 http://t.co/n54l115Aec"" 🔝"
570309134651924480,2015-02-24 19:47:48 +0000,NICKIMINAJ,RT @NickiSLAYSMe_: imma be hype asf no matter what songs. i just need these american tour dates !! where is march !!!!😩😩😩😩
570308742207672320,2015-02-24 19:46:14 +0000,NICKIMINAJ,"RT @RichieMinaj_: Win Again, Want Some More, Buy a Heart and Trini Dem Girls are all trending in the UK. 👑 @NICKIMINAJ http://t.co/1fWgfS5Sjd"
570307360276791296,2015-02-24 19:40:45 +0000,NICKIMINAJ,RT @Devonnce: @NICKIMINAJ #WinAgain & #FourDoorAventador Are Trending!!!! #ThePinkprintTour http://t.co/JkBXGB5zSS
570307350780878850,2015-02-24 19:40:42 +0000,NICKIMINAJ,"RT @kikiminxj: @NICKIMINAJ Trini Dem Girls, Four Door Aventador and Win Again is trending 😍🙌😁 #ThePinkprintTour http://t.co/diKPW8p7Eb"
570307343843516417,2015-02-24 19:40:41 +0000,NICKIMINAJ,RT @OnikasLilPearl: Yasss @ my babies trending WW http://t.co/15QQIVJPje
570303352489308160,2015-02-24 19:24:49 +0000,NICKIMINAJ,Ok just list the top 5 songs u can't wait to see me perform live on tour. #ThePinkprintTour 😘
570301018841464832,2015-02-24 19:15:33 +0000,NICKIMINAJ,:((( > RT“@FOREVER4NICKI: “@MinajPerfection: “@NickiTMUKBarb: @NICKIMINAJ any of these songs on the set list?? http://t.co/oAs6gP5Lh8” 👀👀👀””
570300782697975809,2015-02-24 19:14:36 +0000,NICKIMINAJ,🌚 < RT @MasterOnFleek: The barbz at Nic's rn http://t.co/aLAvbfNXdL”
570300070861656065,2015-02-24 19:11:47 +0000,NICKIMINAJ,On God yall got tears cmn out my eyes > RT “@JayBMinaj: @NICKIMINAJ how many songs did you take out http://t.co/J4Hyad1B9t”
570299819798990848,2015-02-24 19:10:47 +0000,NICKIMINAJ,RT @JovahnteaMinaj: Oh God. RT “@LOICKRELOADED: 😭😭😭 RT“@SebasMinaj: 😂😂😂😂😂 RT @OnikaOnFleek: J/K there is no set list http://t.co/XSmda5VJdX””
570299752698515456,2015-02-24 19:10:31 +0000,NICKIMINAJ,RT @ShawnMinaj: I just screamed... RT @cjbydesign: Set list looking like some of yall edges 😴😴😴
570299656946778112,2015-02-24 19:10:08 +0000,NICKIMINAJ,RT @GUIDONOIR: how cheeky of u RT @cjbydesign: set list looking like some of yalls fathers 😴😴
570299146076340226,2015-02-24 19:08:06 +0000,NICKIMINAJ,I swear I took it out but Casper was fighting for it😂 > RT @MinajShield: Shanghai Better be on the Setlist idc”
570298593137065984,2015-02-24 19:05:54 +0000,NICKIMINAJ,:( > RT @EYE_LUV_ONIKA: “@KlyseZolanski: LMAAAO. RT @iRawq: Set list looking like http://t.co/aKggoUo5O5””
570298438690197506,2015-02-24 19:05:18 +0000,NICKIMINAJ,RT @MiLUVMiSUMNEEKi: @NICKIMINAJ I GOTTA SEE THIS SETLIST BECAUSE YOU'RE LEAVING SHIT OUT!
570297731639607296,2015-02-24 19:02:29 +0000,NICKIMINAJ,Ummmm hey @bassicblack @iamboomkack they said we gotta have BUY A HEART & WIN AGAIN on the tour. Cc: Casper. I just... Smh 😩
570297173952372739,2015-02-24 19:00:16 +0000,NICKIMINAJ,Ok I'll add that and win again. Omfg yall aggy 🌚 > RT @brianRELOADED: SHE DOSENT HAVE BUY A HEART ON THE SET LIST? OMG. I will fight her”
570296889322692610,2015-02-24 18:59:08 +0000,NICKIMINAJ,😂😂😂😂😂😂 > RT “@coupleBOOBS: RT @iRawq: @NICKIMINAJ but I thought this was #THEPINKPRINTTOUR http://t.co/dXiyDYbycm”
570296747978858497,2015-02-24 18:58:34 +0000,NICKIMINAJ,RT @DeeTheeNinja: @NICKIMINAJ bye nicki. 😒😡
570296732111798272,2015-02-24 18:58:31 +0000,NICKIMINAJ,RT @StuntOnBitches: @NICKIMINAJ WTFFFF PUT IT IN NOW👊👊👊👊👊
570296711178006530,2015-02-24 18:58:26 +0000,NICKIMINAJ,RT @DaKangReloaded: @NICKIMINAJ damn what u got on the set list then😂😂😂
570296702072180740,2015-02-24 18:58:24 +0000,NICKIMINAJ,"RT @DaRealKhefner: Well, what new songs do u have? 😩 RT @NICKIMINAJ: Don't have this in currently 😩 > RT “@BegNMe2F1: Win Again should be the closer"
570296462686494721,2015-02-24 18:57:26 +0000,NICKIMINAJ,Don't have this in currently 😩 > RT “@BegNMe2F1: Win Again should be the closer”
570296085215883264,2015-02-24 18:55:56 +0000,NICKIMINAJ,Not in set list as of now 😩 > RT “@tobypenny_: @NICKIMINAJ as long as you perform buy a heart I'm good”
570295800464601089,2015-02-24 18:54:49 +0000,NICKIMINAJ,"RT @SantossMenjivar: @NICKIMINAJ ""WIN AGAIN"" is trending in the US! @nickiminaj http://t.co/QOVbDC1dXk"
570295740330852352,2015-02-24 18:54:34 +0000,NICKIMINAJ,"RT @Kayaaa_ox: @NICKIMINAJ you know we want songs from all eras, including mixtape eras too!!!!!"
570295634839924737,2015-02-24 18:54:09 +0000,NICKIMINAJ,RT @punk_kiid: If Nicki thinks she's leaving out bops from previous albums she's made a big mistake. I'll snatch the mic and rap
570295594578812928,2015-02-24 18:53:59 +0000,NICKIMINAJ,RT @lovedatminaj: I'll be dying of jealousy seeing all da barbz going to TPP Tour 😭😭😭😭😩😩😩😞😥
570295549905281025,2015-02-24 18:53:49 +0000,NICKIMINAJ,RT @SebasMinaj: @NICKIMINAJ But please perform Save Me #ThePinkprintTOUR
570295248674533376,2015-02-24 18:52:37 +0000,NICKIMINAJ,Omg yall don't start. Lol it's the Pinkprint TOUR> RT @DearOldSham: 😍😍🙌🙌😭 RT @ItsMikeyBeex: I need fire burns & the crying games 🙌🙌🙌🙌🙌🙌”
570292664702251008,2015-02-24 18:42:21 +0000,NICKIMINAJ,Nah. Ima just walk on buttFuk nekkid every night > RT@tymare12: @NICKIMINAJ Are you going to have tour outfits for #ThePinkprintTour ?? 👀😍😜”
570292192750780416,2015-02-24 18:40:28 +0000,NICKIMINAJ,"RT @FuqLove__: @NICKIMINAJ Guuuuurl it's a good job you changed your mind, or I'd have to jump on stage and start rapping it myself 😂"
570291819210276865,2015-02-24 18:38:59 +0000,NICKIMINAJ,Haha. Wasn't gonna perform lookin ass til yesterday. > RT @PUSSYTOOVICIOUS: @NICKIMINAJ IF YOU OPEN WITH LAN  IM FINNA GO BUCKKKK MAD!!!!!”
570291276916113409,2015-02-24 18:36:50 +0000,NICKIMINAJ,U know I won't. Take a guess>  RT “@OnikaPride: @NICKIMINAJ can you tell us what song your opening with? 😉😏 #ThePinkPrintTour”
570290318970634240,2015-02-24 18:33:02 +0000,NICKIMINAJ,Only performing on Friday> RT@FeelingMinaj: Get Your @NICKIMINAJ BET experience Tickets HERE: http://t.co/itjRy6ocBK http://t.co/d9NYJJSMvq”
570284598556561408,2015-02-24 18:10:18 +0000,NICKIMINAJ,#ThePinkprintTOUR #EuropeanEdition 💋 https://t.co/541ABh3Vfn
570283231955820544,2015-02-24 18:04:52 +0000,NICKIMINAJ,RT @OnikaMyFav: Don’t miss @NICKIMINAJ’s #ThePinkprintTour across the UK this Mar/Apr! Ticket’s on sale now: http://t.co/5Gm1qisCGE http://t.co/eFnsohsMvS
570046716856152064,2015-02-24 02:25:02 +0000,NICKIMINAJ,RT @RaeSremmurd: Tho sum Mo Video coming soon
570032951171416064,2015-02-24 01:30:20 +0000,NICKIMINAJ,Every now & then in this dog eat dog business you'll meet precious gems. Ppl u trust without rlly… https://t.co/W5zsojdB4u
570001139707584513,2015-02-23 23:23:56 +0000,NICKIMINAJ,Sugar!!! https://t.co/5fqSfAeIlY
569991730390552576,2015-02-23 22:46:33 +0000,NICKIMINAJ,RT @rmedia360: #CharlotteTakeOver http://t.co/4sFqEEoqUz | 2/28/2015 | @nickiminaj @meekmill #CIAA Weekend. Get Your Tickets!! http://t.co/opBDOobKXM |
569954810163798016,2015-02-23 20:19:50 +0000,NICKIMINAJ,❤️ https://t.co/5muXlHpkBB
569584991379853312,2015-02-22 19:50:18 +0000,NICKIMINAJ,Love you too
569583849086304256,2015-02-22 19:45:46 +0000,NICKIMINAJ,"RT @loyal_barb: Download Nicki Minaj's new album ""The Pinkprint"" on #iTunes Now!  https://t.co/FCetMcDZPd

#VoteNickiMinaj #voteBangBang #kca"
568580669028376576,2015-02-20 01:19:29 +0000,NICKIMINAJ,Just posted a photo http://t.co/X3HhOGTXLK
568577782063755264,2015-02-20 01:08:01 +0000,NICKIMINAJ,With the genius himself @marcjacobsintl Brilliant collection http://t.co/eEgFuy1479
568561561800990720,2015-02-20 00:03:34 +0000,NICKIMINAJ,http://t.co/aT2QHVi9ri
568560867878576128,2015-02-20 00:00:48 +0000,NICKIMINAJ,Just posted a photo @ Marc Jacobs NYFW http://t.co/S4Rcqprr81
568560505285156864,2015-02-19 23:59:22 +0000,NICKIMINAJ,@marcjacobsintl 👍 http://t.co/55MThN6dMI
568559701383888896,2015-02-19 23:56:10 +0000,NICKIMINAJ,My everything rushkabergman makeup by Sheika hair by Oscar #MarcJacobs #NYFW http://t.co/fQodRZ0QBj
568557094636552192,2015-02-19 23:45:49 +0000,NICKIMINAJ,Bag/Coat\Skirt by Marc Jacobs - boots by Bally http://t.co/MYCTGYOGSg
568555910802616321,2015-02-19 23:41:07 +0000,NICKIMINAJ,@marcjacobsintl coat by Marc Jacobs - skirt by Marc Jacobs - hair by Oscar. Makeup by Sheika - look by… http://t.co/OSFaWDLRNS
568546762891366400,2015-02-19 23:04:46 +0000,NICKIMINAJ,#MarcJacobs http://t.co/pKAsdiXNJV
568112008857571328,2015-02-18 18:17:12 +0000,NICKIMINAJ,"RT @OnikaThot: Philly Bar Fight Turns Into Deadly Stabbing 1 Dead 1 In Critical Condition: 
http://t.co/vzNv5Ek7wI"
568110116077215744,2015-02-18 18:09:41 +0000,NICKIMINAJ,#Rp @myfabolouslife - these guys flew into Philly for my tour rehearsals 2 days ago and were both… http://t.co/MqjxqAslvD
568108156485828608,2015-02-18 18:01:54 +0000,NICKIMINAJ,Two members of my team were stabbed last night in Philly. One was killed. They had only been there for two days rehearsing for the tour.
567845761108541440,2015-02-18 00:39:14 +0000,NICKIMINAJ,Just posted a photo http://t.co/zyEVzCto2W
567844588536389632,2015-02-18 00:34:34 +0000,NICKIMINAJ,"I never remember ppl. At some point I always have to take a moment and think ""where do I know u from?""… http://t.co/Ya2JRt7r1H"
567842559147524096,2015-02-18 00:26:30 +0000,NICKIMINAJ,My maybach? Black matted. Bitch neva left but I'm back at it. And I'm feelin myself... http://t.co/XfiSe5Tenk
567838393247350784,2015-02-18 00:09:57 +0000,NICKIMINAJ,😘 http://t.co/iE4tgJ5Psl
567832838390849536,2015-02-17 23:47:53 +0000,NICKIMINAJ,RT @onikarobz: zendaya 💅👑🙌 http://t.co/zRwdLl5Gn7
567827435837849601,2015-02-17 23:26:25 +0000,NICKIMINAJ,🍥 http://t.co/9zzNSXkyHs
567823628369395712,2015-02-17 23:11:17 +0000,NICKIMINAJ,RT @brandidesaun: in target. got the last one.😁 @NICKIMINAJ http://t.co/JoTsaSOIcC
567821866498392064,2015-02-17 23:04:17 +0000,NICKIMINAJ,😂 > RT @MasterOnFleek: Just read them http://t.co/2pr3zkyzJC”
567797661081014272,2015-02-17 21:28:06 +0000,NICKIMINAJ,#NickiForCavalli #RobertoCavalliSS15 http://t.co/L5qZwsajbr
567766514708000768,2015-02-17 19:24:20 +0000,NICKIMINAJ,#ThomBrowne http://t.co/3uKNXjMpTM
567741277694083073,2015-02-17 17:44:03 +0000,NICKIMINAJ,"RT @DerekBlasberg: I wanted some because she's got buns, hun @NICKIMINAJ http://t.co/CdNOhTTZ6R"
567737934645039104,2015-02-17 17:30:46 +0000,NICKIMINAJ,Happy Valentine's Day. #LaterGram http://t.co/3xu264vNqc
567735863153795072,2015-02-17 17:22:32 +0000,NICKIMINAJ,Here comes the #LetsDoTheMost segment...
567734917979979777,2015-02-17 17:18:47 +0000,NICKIMINAJ,#DatAintJUICE > RT “@_NickiIsMyQueen: @NICKIMINAJ can I have some of your juice????? 😳👀 http://t.co/bXkAaI7UcQ”
567734489796071424,2015-02-17 17:17:05 +0000,NICKIMINAJ,"Figure out your grammar before u start thottin >RT @SiweShakur: 😂😂😂""@johntavius: If I had nicki boobz I'll let some many niggas nutt on them"
567733841851584512,2015-02-17 17:14:30 +0000,NICKIMINAJ,"Yup RT ""@OnikasKeeper: ""@NickiJahQueen: Yasssss pls RT ""@OnikaThot: @NICKIMINAJ can I yewse yur butt as a pillow? http://t.co/oa8KjCgSif""""""”"
567732000455684100,2015-02-17 17:07:11 +0000,NICKIMINAJ,U sure can > RT @Lia_Maraj: @NICKIMINAJ can I use your boobs as a pillow? 🙊🙈😴😍 http://t.co/MEPROulnr0”
567728777275645952,2015-02-17 16:54:23 +0000,NICKIMINAJ,Mmmmuuuuaaahhhhhhhh!!!!!!
567480401401479168,2015-02-17 00:27:25 +0000,NICKIMINAJ,Just posted a photo http://t.co/kZfk74fwi1
567472702383210497,2015-02-16 23:56:50 +0000,NICKIMINAJ,So in love with my #RobertoCavalli campaign http://t.co/vqcf8TIYDU
567471729904480256,2015-02-16 23:52:58 +0000,NICKIMINAJ,Wanna minaj? http://t.co/eTjussqSpW
567468030465417216,2015-02-16 23:38:16 +0000,NICKIMINAJ,Coat by #ThomBrowne Shoes by #SaintLaurent Bag by #Celine - http://t.co/NIaU4n1MVS
567467495981060096,2015-02-16 23:36:08 +0000,NICKIMINAJ,#ThomBrowne http://t.co/ajfQqD5FM3
567457841796349952,2015-02-16 22:57:46 +0000,NICKIMINAJ,Genius creative #ThomBrown http://t.co/KwwQWZUmuJ
567436079918501888,2015-02-16 21:31:18 +0000,NICKIMINAJ,Nicki just out here workin. And livin her life. 😘😘😘😘  #ThePinkprint the ALBUM the #LOVE http://t.co/7Io05a8KrD
567423537359888384,2015-02-16 20:41:28 +0000,NICKIMINAJ,😳 http://t.co/8cAnp5Jytd
567420975017644033,2015-02-16 20:31:17 +0000,NICKIMINAJ,U ni%az iz Kevin Hart yall b actin funny http://t.co/Li32gqw1NW
567392120131317760,2015-02-16 18:36:37 +0000,NICKIMINAJ,😘 > RT @Tinashe: Yasss @NICKIMINAJ i fucking love u 😻😻 http://t.co/EvVjvHX9hc”
567391342838685696,2015-02-16 18:33:32 +0000,NICKIMINAJ,Why yall doin this? 😔😂😂😂 #ThePinkprintOniTunes http://t.co/8gy2sIrlHL
567387872375103489,2015-02-16 18:19:44 +0000,NICKIMINAJ,If I see this lady on my timeline one mo muthafkn time 🌚😂😂 http://t.co/KWuK9xsIvY
567383980262305793,2015-02-16 18:04:17 +0000,NICKIMINAJ,Cuz yall aint shit! 😂😂😂😂 > RT “@RichieMinaj_: You know we just gonna sing the original lines even louder when on tour 😂 @NICKIMINAJ”
567383781859135488,2015-02-16 18:03:29 +0000,NICKIMINAJ,RT @JordanxZolanski: The new line just snatched a few edges tho. When will your fave?
567383634282569728,2015-02-16 18:02:54 +0000,NICKIMINAJ,RT @50SHADESOFNICKI: Omg she legit made new lines to the song lmaooo😂😂
567383591261577216,2015-02-16 18:02:44 +0000,NICKIMINAJ,RT @PLaYBoYKeNxX: Death at her just switching up like that... Freestyling.... REAL MC. @NICKIMINAJ my nigga for life. 👌
567383419907493888,2015-02-16 18:02:03 +0000,NICKIMINAJ,RT @KingCaIeb: The new line lowkey goes off tho...
567383333135712256,2015-02-16 18:01:42 +0000,NICKIMINAJ,😂😂😂😂😂 straight off the top 😩 > RT @NoMINAJ4Uglies: RT @ryansvengali: LMAO right?! — “@_MrGentleman_: Wait @ that line being fire””
567382533613289475,2015-02-16 17:58:32 +0000,NICKIMINAJ,It's Just good music kid cudi wit em/ cuz real shit I'm just buddies wit em 😩 > RT @foronika_x: so wut you gonna sing instead of that line?”
567380987370536960,2015-02-16 17:52:23 +0000,NICKIMINAJ,"😂 > RT @PLaYBoYKeNxX: My man don't like me singing the ""I'd Minaj with em"" line either... @NICKIMINAJ 😐”"
567380409336754177,2015-02-16 17:50:05 +0000,NICKIMINAJ,The word IF is in the sentence. IFFFFF I DID. lol I'm a goody two shoez n u know it! > RT @blowminaj: @NICKIMINAJ LMFAO 😭😭😭😭”
567379200320225282,2015-02-16 17:45:17 +0000,NICKIMINAJ,"No cashley. He don't like the ""I'd minaj wit'em"" line. For obvious reasons 😩"
567378087273177089,2015-02-16 17:40:52 +0000,NICKIMINAJ,"RT @CarsonZolanski: I just got my LIIIIIFE. RT @plusminaj: ""Truffle Butter"" at Webster Hall last night. http://t.co/n5oy8KrrlZ"
567373742138220545,2015-02-16 17:23:36 +0000,NICKIMINAJ,Girls really like saying this one particular line for some strange reason 😩🎂🍰🍥yall some fkn #Freaks http://t.co/fsxv2wATMP
567371647326625792,2015-02-16 17:15:16 +0000,NICKIMINAJ,U need a bad girl to blow ya mind http://t.co/R6XruJacZd
567369450572496896,2015-02-16 17:06:32 +0000,NICKIMINAJ,RT @OnikaMForLife: Bang Bang 💥💥 http://t.co/O15qh4cI9q
567365607432409089,2015-02-16 16:51:16 +0000,NICKIMINAJ,Smile http://t.co/zin8B9sa66
567363855962374145,2015-02-16 16:44:19 +0000,NICKIMINAJ,😩 http://t.co/nGd34gOn2r
567361807833391106,2015-02-16 16:36:10 +0000,NICKIMINAJ,This little lady bug who sat next to me 😍 http://t.co/gWeuz3frx0
567361448972931072,2015-02-16 16:34:45 +0000,NICKIMINAJ,Bang Bang 🏀🏀🏀🏀🏀 #NBA #ALLSTARS #ARI http://t.co/FHdZ0fD7w0
567251043223097344,2015-02-16 09:16:02 +0000,NICKIMINAJ,RT @MinajWithJenna: @NICKIMINAJ lmao thank youuuuu. Shit gets annoying
567251032175300608,2015-02-16 09:15:59 +0000,NICKIMINAJ,RT @RejectBarb: @NICKIMINAJ sbbssbdsh lmfao 😩
567250997375168513,2015-02-16 09:15:51 +0000,NICKIMINAJ,RT @Jessssrumsey: @NICKIMINAJ finally u said something!! It's so necessary lmaooo
567250062116675584,2015-02-16 09:12:08 +0000,NICKIMINAJ,Unfollowing spam. Keep tweeting smthn over n over and I'm pressing the button on dat ass. Chill LMFAOOOOO dead ass
567246945341947904,2015-02-16 08:59:45 +0000,NICKIMINAJ,S|O to @DJDRAMA !!!!!!!! ❤️❤️❤️❤️ ha!
567241308243492865,2015-02-16 08:37:21 +0000,NICKIMINAJ,@Baddiexlei Qaeda
567157635280302081,2015-02-16 03:04:52 +0000,NICKIMINAJ,I love u ARI! thank u!!!! > RT @ArianaGrande: thank u babes!! that was too fun. thanks again NBA & thank u @nickiminaj. i love uu!!”
567131891376357377,2015-02-16 01:22:34 +0000,NICKIMINAJ,Mood http://t.co/bXkAHCPMHg
567107249194422272,2015-02-15 23:44:39 +0000,NICKIMINAJ,"Ice Beverages in JAMAICA, QUEENS - #MyxMoscato http://t.co/yoPvUt9kAJ"
567081035813642241,2015-02-15 22:00:29 +0000,NICKIMINAJ,"RT @QueenMinajTM: ""The Pinkprint"" on #iTunes  https://t.co/07IKtx0n0b"
567079447191629824,2015-02-15 21:54:10 +0000,NICKIMINAJ,Nicki x Alexander Wang http://t.co/833ZjWuwxk
567062423623196672,2015-02-15 20:46:31 +0000,NICKIMINAJ,😍 http://t.co/sB8MQ0Mnnw
567040067144024064,2015-02-15 19:17:41 +0000,NICKIMINAJ,Just posted a photo http://t.co/D4gcNJNiPi
567039542277185537,2015-02-15 19:15:36 +0000,NICKIMINAJ,Just posted a photo http://t.co/wy7wV0zlYY
567038273462493185,2015-02-15 19:10:34 +0000,NICKIMINAJ,Just posted a photo http://t.co/Qy6iCza3Ez
567037858641608704,2015-02-15 19:08:55 +0000,NICKIMINAJ,Just posted a photo http://t.co/HGpuFJb55E
567037214815956994,2015-02-15 19:06:21 +0000,NICKIMINAJ,Drink MYX responsibly 👅 myxfusions http://t.co/fI6V2mVsqv
566817914284941312,2015-02-15 04:34:56 +0000,NICKIMINAJ,"Lookin Trinidadian, Japanese & Indian... Got Malaysian, got dat yaki, dat wavy Brazilian 😩👅 http://t.co/qKJu9XChJw"
566813200583491585,2015-02-15 04:16:12 +0000,NICKIMINAJ,😂😂😂😂😂😂> RT @asvpxdeja: 😂😂😂😂 RT @BasedPaco: Nicki Minaj and Rihanna front row I'm risking both my ACLs to make that dunk”
566778731927437312,2015-02-15 01:59:14 +0000,NICKIMINAJ,😩😩😩😩 http://t.co/aBVI8IHI95
566745681508204544,2015-02-14 23:47:54 +0000,NICKIMINAJ,tonight!!! http://t.co/8yVvxUbP3K
566733703465172992,2015-02-14 23:00:18 +0000,NICKIMINAJ,Loved the show my love!!!! #AlexanderWang ~ makeup by @joycebonelli hair by @oscarjameshair Creative… http://t.co/GwZWu9ORPo
566722735045623809,2015-02-14 22:16:43 +0000,NICKIMINAJ,alexanderwangny http://t.co/zniktRE6WV
566720399741046784,2015-02-14 22:07:27 +0000,NICKIMINAJ,#AlexanderWang 👅 http://t.co/511hM3PMB8
566682168030928897,2015-02-14 19:35:31 +0000,NICKIMINAJ,When the man of your dreams shows up with your Valentine's Day gift and melts your heart… http://t.co/CjB38wYoMn
566670136296636416,2015-02-14 18:47:43 +0000,NICKIMINAJ,RT @KevinHart4real: http://t.co/OgF6ePxuRQ
566670131108270081,2015-02-14 18:47:42 +0000,NICKIMINAJ,RT @KevinHart4real: #DopePic http://t.co/tduNwBVvuC
566662110504308736,2015-02-14 18:15:49 +0000,NICKIMINAJ,🌚 http://t.co/6zBqGg4Vmr
566660499077877760,2015-02-14 18:09:25 +0000,NICKIMINAJ,Wait hold up 😩 ~ happy valentines day... I guess? 😂 http://t.co/I0VvhobbGp
566658860388462592,2015-02-14 18:02:54 +0000,NICKIMINAJ,RT @DaFrenchBarbie: This !!! that's my jam RT @gypsydamnXTRA: Throw Sum Mo is such a BOP 🙌🔥
566655414679633920,2015-02-14 17:49:13 +0000,NICKIMINAJ,Oh??? Me who u love? 😘❤️ @ Michael Jordan Event http://t.co/JSCmSQ6DoD
566644858795081728,2015-02-14 17:07:16 +0000,NICKIMINAJ,Oh hey @grizzleemusic tryna get cute wit ya photo edits. 🌚😛 http://t.co/T4vEVpNIGI
566625429910724610,2015-02-14 15:50:04 +0000,NICKIMINAJ,#rp @justsanaa HAPPY VALENTINE'S DAY!!!!!!! ❤️💋 http://t.co/ISYMVD2Dbg
566554590343348224,2015-02-14 11:08:35 +0000,NICKIMINAJ,RT @TeamMinajAwesum: @NICKIMINAJ lmfaooo I want to know why she thought that was ok like....#reallynigga
566553669576175616,2015-02-14 11:04:55 +0000,NICKIMINAJ,Girl wit da selfie stick got me crine. #crine
566546358635864064,2015-02-14 10:35:52 +0000,NICKIMINAJ,💋 http://t.co/7FjrE9SO7p
566544402295029760,2015-02-14 10:28:06 +0000,NICKIMINAJ,QUEENS!!!! We did it baby!!!! NYC!!!! http://t.co/rubs6eoELy
566542932510273536,2015-02-14 10:22:15 +0000,NICKIMINAJ,🎈 http://t.co/L54C2pWm1A
566541661376110593,2015-02-14 10:17:12 +0000,NICKIMINAJ,Club was on a billion http://t.co/5xM85DgZg8
566519726550286336,2015-02-14 08:50:02 +0000,NICKIMINAJ,RT @Brooklenbarbie: I will never get over this. Like ever. So cute. http://t.co/TdCMFTriEV
566509401687986176,2015-02-14 08:09:01 +0000,NICKIMINAJ,RT @SantossMenjivar: Pretty on fleek 😍🙌 turnt!! @nickiminaj http://t.co/dKEJNChi6T
